tunit_code,tunit_name,y_2014
UKF1,Derbyshire and Nottinghamshire,3496731
UKF2,"Leicestershire, Rutland and Northamptonshire",3515616
UKF3,Lincolnshire,1141214
UKG1, ,2105221
UKG2,Shropshire and Staffordshire,2586727
UKG3,West Midlands,4511228
UKH1,East Anglia,4032686
UKH2,Bedfordshire and Hertfordshire,3079273
UKH3,Essex,2900651
UKI3,Inner London - West,649653
UKI4, ,2294714
UKI5,Outer London - East and North East,2616970
UKI6,Outer London - South,1415886
UKI7,Outer London - West and North West,2296207
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",3803248
UKJ2,"Surrey, East and West Sussex",4204586
UKJ3,Hampshire and Isle of Wight,3261016
UKJ4,Kent,2455756
UKK1, ,4337570
UKK2,Dorset and Somerset,1968229
UKK3,Cornwall and Isles of Scilly,744164
UKK4,Devon,1646102
UKL1,West Wales and the Valleys,3097994
UKL2,East Wales,1835721
UKM2,Eastern Scotland,3246920
UKM3,South Western Scotland,3710093
UKM5,North Eastern Scotland,292637
UKM6,Highlands and Islands,692899
UKN0, ,3043003
XK00,Republica e Kosovas / Republika Kosovo,822583
