,tunit_code,tunit_name,y_2006,y_2014,dif
201,NL23,Flevoland,585555,427014,-158541
202,NL31,Utrecht,2616319,3178879,562560
203,NL32,Noord-Holland,5739642,5957028,217386
204,NL33, ,6796462,8220204,1423742
205,NL34,Zeeland,782278,872111,89833
206,NL41,Noord-Brabant,6288597,8268660,1980063
207,NL42,Limburg (NL),2554550,3097034,542484
208,NO01,Oslo og Akershus,1165127,2328269,1163142
209,NO02,Hedmark og Oppland,500318,560430,60112
210,NO03,Sor-Ostlandet,1407209,1812733,405524
211,NO04,Agder og Rogaland,3147538,1622363,-1525175
212,NO05,Vestlandet,1442747,1769867,327120
213,NO06,Trondelag,459174,843831,384657
214,NO07,Nord-Norge,608435,716349,107914
215,PL11,Lodzkie,4279466,4853770,574304
216,PL12,Mazowieckie,5960852,13454363,7493511
217,PL21,Malopolskie,4240763,6547852,2307089
218,PL22,Slaskie,10818920,9953576,-865344
219,PL31,Lubelskie,4140840,3289974,-850866
220,PL32,Podkarpackie,3549806,3586770,36964
221,PL33,Swietokrzyskie,2140610,2194419,53809
222,PL34,Podlaskie,1397667,1714680,317013
223,PL41,Wielkopolskie,5333843,7357121,2023278
224,PL42,Zachodniopomorskie,2008741,2793960,785219
225,PL43,Lubuskie,1934848,1871667,-63181
226,PL51,Dolnoslaskie,4998327,5884817,886490
227,PL52,Opolskie,1938055,1532240,-405815
228,PL61,Kujawsko-Pomorskie,3477019,3707501,230482
229,PL62,Warminsko-Mazurskie,1510580,2376429,865849
230,PL63,Pomorskie,3541473,4102615,561142
231,PT11,Norte,9143196,4054878,-5088318
232,PT15,Algarve,1533787,346112,-1187675
233,PT16,Centro (PT),6267799,2923643,-3344156
234,PT17,Area Metropolitana de Lisboa,6419808,3606648,-2813160
235,PT18,Alentejo,1472752,811560,-661192
236,PT20, ,356972,222405,-134567
237,PT30,Regiao Autonoma da Madeira,452133,348984,-103149
238,RO11,Nord-Vest,6157577,3013798,-3143779
239,RO12,Centru,6144058,2549812,-3594246
240,RO21,Nord-Est,6579164,3527807,-3051357
241,RO22, ,5991494,2139822,-3851672
242,RO31,Sud - Muntenia,7217917,3120614,-4097303
243,RO32,Bucuresti - Ilfov,4431977,2529002,-1902975
244,RO41,Sud-Vest Oltenia,7920542,1685118,-6235424
245,RO42,Vest,4546161,2257575,-2288586
250,SE11,Stockholm,5032665,4220711,-811954
251,SE12,Ostra Mellansverige,3993589,3190177,-803412
252,SE21,Smaland med oarna,2205154,1544351,-660803
253,SE22,Sydsverige,2979444,2781437,-198007
254,SE23,Vastsverige,4484044,3561788,-922256
255,SE31,Norra Mellansverige,2548412,1687522,-860890
256,SE32,Mellersta Norrland,1006520,668337,-338183
257,SE33,Ovre Norrland,2152633,781340,-1371293
258,SI03, ,2108381,1517762,-590619
259,SI04,Zahodna Slovenija,1869740,1790232,-79508
260,SK01, ,476903,681221,204318
261,SK02,Zapadne Slovensko,1883885,1910321,26436
262,SK03,Stredne Slovensko,2313996,1510864,-803132
263,SK04,Vychodne Slovensko,1849062,1365782,-483280
290,UKC1, ,2411921,1679404,-732517
291,UKC2,Northumberland and Tyne And Wear,4120792,2235050,-1885742
292,UKD1,Cumbria,1815032,855299,-959733
293,UKD3,Greater Manchester,5896671,4781230,-1115441
294,UKD4,Lancashire,3575868,2461220,-1114648
295,UKD6,Cheshire,2132405,1695988,-436417
296,UKD7,Merseyside,4310688,2341898,-1968790
297,UKE1,East Yorkshire and Northern Lincolnshire,2649669,1505567,-1144102
298,UKE2,North Yorkshire,2566170,1302981,-1263189
299,UKE3,South Yorkshire,4195342,2172638,-2022704
300,UKE4,West Yorkshire,7582738,3766116,-3816622
301,UKF1,Derbyshire and Nottinghamshire,3811680,3496731,-314949
302,UKF2,"Leicestershire, Rutland and Northamptonshire",4496535,3515616,-980919
303,UKF3,Lincolnshire,1451589,1141214,-310375
304,UKG1, ,3339053,2105221,-1233832
305,UKG2,Shropshire and Staffordshire,3929636,2586727,-1342909
306,UKG3,West Midlands,6283126,4511228,-1771898
307,UKH1,East Anglia,5266416,4032686,-1233730
308,UKH2,Bedfordshire and Hertfordshire,2541419,3079273,537854
309,UKH3,Essex,2851586,2900651,49065
310,UKI3,Inner London - West,3851635,649653,-3201982
